--- 1. Load prepared metadata ---
Dataset path: data/synthetic/classification_dataset_stft_awgn.mat
Loaded normalization stats from file: Min=-66.79, Max=42.62
Using normalization: Min=-66.79414273355333, Max=42.6166170262395
Initializing RAM Datasets (This may take 1-2 mins)...
preload: Loading dataset from data/synthetic/classification_dataset_stft_awgn.mat into RAM...
preload: Loaded 69300 frames into RAM.
preload: Loading dataset from data/synthetic/classification_dataset_stft_awgn.mat into RAM...
preload: Loaded 26070 frames into RAM.
Using device: cuda
Starting High-Performance Training...
Epoch [3/50] Step [170/227] Loss: 1.9143 | Elapsed: 43s | ETA: 14s
Epoch [3/50] Step [180/227] Loss: 1.8713 | Elapsed: 45s | ETA: 12s
Epoch [3/50] Step [190/227] Loss: 1.9068 | Elapsed: 48s | ETA: 9s
Epoch [3/50] Step [200/227] Loss: 1.8628 | Elapsed: 50s | ETA: 7s
Epoch [3/50] Step [210/227] Loss: 1.8823 | Elapsed: 53s | ETA: 4s
Epoch [3/50] Step [220/227] Loss: 1.8413 | Elapsed: 55s | ETA: 2s
Epoch [3/50] Step [227/227] Loss: 1.8341 | Elapsed: 57s | ETA: 0s
Epoch [3/50] Train Loss: 1.9597, Val Loss: 1.8447, Acc: 28.34%
  -> Validation Loss Improved. Saving model...
Epoch [4/50] Step [10/227] Loss: 1.8514 | Elapsed: 3s | ETA: 66s
Epoch [4/50] Step [20/227] Loss: 1.8383 | Elapsed: 6s | ETA: 57s
Epoch [4/50] Step [30/227] Loss: 1.8550 | Elapsed: 8s | ETA: 53s
Epoch [4/50] Step [40/227] Loss: 1.8121 | Elapsed: 11s | ETA: 49s
Epoch [4/50] Step [50/227] Loss: 1.6991 | Elapsed: 13s | ETA: 46s
Epoch [4/50] Step [60/227] Loss: 1.7438 | Elapsed: 15s | ETA: 43s
Epoch [4/50] Step [70/227] Loss: 1.7412 | Elapsed: 18s | ETA: 40s
Epoch [4/50] Step [80/227] Loss: 1.7269 | Elapsed: 20s | ETA: 38s
Epoch [4/50] Step [90/227] Loss: 1.7051 | Elapsed: 23s | ETA: 35s
Epoch [4/50] Step [100/227] Loss: 1.7751 | Elapsed: 25s | ETA: 32s
Epoch [4/50] Step [110/227] Loss: 1.7471 | Elapsed: 28s | ETA: 30s
Epoch [4/50] Step [120/227] Loss: 1.7049 | Elapsed: 30s | ETA: 27s
Epoch [4/50] Step [130/227] Loss: 1.7165 | Elapsed: 33s | ETA: 25s
Epoch [4/50] Step [140/227] Loss: 1.7713 | Elapsed: 35s | ETA: 22s
Epoch [4/50] Step [150/227] Loss: 1.6573 | Elapsed: 38s | ETA: 19s
Epoch [4/50] Step [160/227] Loss: 1.6793 | Elapsed: 40s | ETA: 17s
Epoch [4/50] Step [170/227] Loss: 1.6595 | Elapsed: 43s | ETA: 14s
Epoch [4/50] Step [180/227] Loss: 1.7032 | Elapsed: 45s | ETA: 12s
Epoch [4/50] Step [190/227] Loss: 1.6259 | Elapsed: 48s | ETA: 9s
Epoch [4/50] Step [200/227] Loss: 1.6192 | Elapsed: 50s | ETA: 7s
Epoch [4/50] Step [210/227] Loss: 1.6759 | Elapsed: 53s | ETA: 4s
Epoch [4/50] Step [220/227] Loss: 1.5283 | Elapsed: 55s | ETA: 2s
Epoch [4/50] Step [227/227] Loss: 1.5357 | Elapsed: 57s | ETA: 0s
Epoch [4/50] Train Loss: 1.7042, Val Loss: 1.4805, Acc: 43.35%
  -> Validation Loss Improved. Saving model...
Epoch [5/50] Step [10/227] Loss: 1.4598 | Elapsed: 3s | ETA: 66s
Epoch [5/50] Step [20/227] Loss: 1.5920 | Elapsed: 6s | ETA: 57s
Epoch [5/50] Step [30/227] Loss: 1.4849 | Elapsed: 8s | ETA: 53s
Epoch [5/50] Step [40/227] Loss: 1.5528 | Elapsed: 11s | ETA: 49s
Epoch [5/50] Step [50/227] Loss: 1.4906 | Elapsed: 13s | ETA: 46s
Epoch [5/50] Step [60/227] Loss: 1.5443 | Elapsed: 15s | ETA: 43s
Epoch [5/50] Step [70/227] Loss: 1.4625 | Elapsed: 18s | ETA: 40s
Epoch [5/50] Step [80/227] Loss: 1.3625 | Elapsed: 20s | ETA: 38s
Epoch [5/50] Step [90/227] Loss: 1.4309 | Elapsed: 23s | ETA: 35s
Epoch [5/50] Step [100/227] Loss: 1.4756 | Elapsed: 25s | ETA: 32s
Epoch [5/50] Step [110/227] Loss: 1.3196 | Elapsed: 28s | ETA: 30s
Epoch [5/50] Step [120/227] Loss: 1.2790 | Elapsed: 30s | ETA: 27s
Epoch [5/50] Step [130/227] Loss: 1.3143 | Elapsed: 33s | ETA: 25s
Epoch [5/50] Step [140/227] Loss: 1.3836 | Elapsed: 35s | ETA: 22s
Epoch [5/50] Step [150/227] Loss: 1.2778 | Elapsed: 38s | ETA: 19s
Epoch [5/50] Step [160/227] Loss: 1.3698 | Elapsed: 40s | ETA: 17s
Epoch [5/50] Step [170/227] Loss: 1.3493 | Elapsed: 43s | ETA: 14s
Epoch [5/50] Step [180/227] Loss: 1.2456 | Elapsed: 45s | ETA: 12s
Epoch [5/50] Step [190/227] Loss: 1.3669 | Elapsed: 48s | ETA: 9s
Epoch [5/50] Step [200/227] Loss: 1.1919 | Elapsed: 50s | ETA: 7s
Epoch [5/50] Step [210/227] Loss: 1.1851 | Elapsed: 53s | ETA: 4s
Epoch [5/50] Step [220/227] Loss: 1.2197 | Elapsed: 55s | ETA: 2s
Epoch [5/50] Step [227/227] Loss: 1.2921 | Elapsed: 57s | ETA: 0s
Epoch [5/50] Train Loss: 1.3742, Val Loss: 1.0893, Acc: 61.76%
  -> Validation Loss Improved. Saving model...
Epoch [6/50] Step [10/227] Loss: 1.1796 | Elapsed: 3s | ETA: 66s
Epoch [6/50] Step [20/227] Loss: 1.1425 | Elapsed: 6s | ETA: 57s
Epoch [6/50] Step [30/227] Loss: 1.0891 | Elapsed: 8s | ETA: 53s
Epoch [6/50] Step [40/227] Loss: 1.0540 | Elapsed: 11s | ETA: 49s
Epoch [6/50] Step [50/227] Loss: 1.1538 | Elapsed: 13s | ETA: 46s
Epoch [6/50] Step [60/227] Loss: 1.1311 | Elapsed: 15s | ETA: 43s
Epoch [6/50] Step [70/227] Loss: 1.0587 | Elapsed: 18s | ETA: 40s
Epoch [6/50] Step [80/227] Loss: 0.9625 | Elapsed: 20s | ETA: 38s
Epoch [6/50] Step [90/227] Loss: 1.1346 | Elapsed: 23s | ETA: 35s
Epoch [6/50] Step [100/227] Loss: 1.1140 | Elapsed: 25s | ETA: 32s
Epoch [6/50] Step [110/227] Loss: 1.0473 | Elapsed: 28s | ETA: 30s
Epoch [6/50] Step [120/227] Loss: 1.0255 | Elapsed: 30s | ETA: 27s
Epoch [6/50] Step [130/227] Loss: 0.9679 | Elapsed: 33s | ETA: 25s
Epoch [6/50] Step [140/227] Loss: 0.9658 | Elapsed: 35s | ETA: 22s
Epoch [6/50] Step [150/227] Loss: 1.0692 | Elapsed: 38s | ETA: 19s
Epoch [6/50] Step [160/227] Loss: 0.9512 | Elapsed: 40s | ETA: 17s
Epoch [6/50] Step [170/227] Loss: 0.8993 | Elapsed: 43s | ETA: 14s
Epoch [6/50] Step [180/227] Loss: 0.9644 | Elapsed: 45s | ETA: 12s
Epoch [6/50] Step [190/227] Loss: 0.8987 | Elapsed: 48s | ETA: 9s
Epoch [6/50] Step [200/227] Loss: 0.9027 | Elapsed: 50s | ETA: 7s
Epoch [6/50] Step [210/227] Loss: 0.9101 | Elapsed: 53s | ETA: 4s
Epoch [6/50] Step [220/227] Loss: 0.8965 | Elapsed: 55s | ETA: 2s
Epoch [6/50] Step [227/227] Loss: 0.8612 | Elapsed: 57s | ETA: 0s
Epoch [6/50] Train Loss: 1.0216, Val Loss: 0.7399, Acc: 78.20%
  -> Validation Loss Improved. Saving model...
Epoch [7/50] Step [10/227] Loss: 0.8670 | Elapsed: 3s | ETA: 66s
Epoch [7/50] Step [20/227] Loss: 0.8556 | Elapsed: 6s | ETA: 57s
Epoch [7/50] Step [30/227] Loss: 0.8732 | Elapsed: 8s | ETA: 53s
Epoch [7/50] Step [40/227] Loss: 0.8580 | Elapsed: 10s | ETA: 49s
